ID,NAME,URL,TELEPHONE,LONGITUDE,LATITUDE,ADDRESS_REGION,ADDRESS_LOCALITY,ADDRESS_COUNTRY
27,Jewel in The Crown,http://www.jewelinthecrown.ie,+353(0)16670959,-6.232093,53.330505,Dublin,Ballsbridge,Republic of Ireland
28,Coolaught Gardens,,+353(0)539244137,-6.718682,52.468534,Wexford,Clonroche,Republic of Ireland
29,Tombrick Garden,,+353(0)539388863,-6.56905871256203,52.5809255017375,Wexford,Enniscorthy,Republic of Ireland
30,La Peniche,http://www.lapeniche.ie,+353(0)877900077,-6.2494236554337,53.332882248925,Dublin,Dublin City,Republic of Ireland
31,Kettles Country House Hotel,http://www.kettleshotel.ie,+353(0)18138511,-6.288287,53.482437,Dublin,Swords,Republic of Ireland
32,Celtic Roots Studio,http://www.celticroots.ie,+353(0)906430404,-7.84785,53.349898,Westmeath,Ballinahowen,Republic of Ireland
33,Fore Abbey Coffee Shop,,+353(0)449661780,-7.227529,53.680996,Westmeath,Fore,Republic of Ireland
34,Murphy's of Killarney,http://www.murphysofkillarney.com,+353(0)646631294,-9.506209,52.059461,Kerry,Killarney,Republic of Ireland
37,Fitzgeralds,http://www.fitzgeraldsbar.ie/,+353(0)16779289,-6.259676,53.346644,Dublin,Dublin City,Republic of Ireland
40,Kilkenny Design Centre,http://www.kilkennydesign.com,,-7.249485,52.649839,Kilkenny,Kilkenny City,Republic of Ireland
42,Bundoran Surf Co.,http://www.bundoransurfco.com,+353(0)719841968,-8.279148,54.478242,Donegal,Bundoran,Republic of Ireland
43,Cope House Ships Inn,,+353(0)749731834,-8.444034,54.636614,Donegal,Killybegs,Republic of Ireland
44,Bistro Bianconi,http://www.bistrobianconi.ie,+353(0)719141744,-8.47502,54.270996,Sligo,Sligo Town,Republic of Ireland
89,Fota Wildlife Park,http://www.fotawildlife.ie,+353(0)214812678,-8.307505,51.890083,Cork,Carrigtwohill,Republic of Ireland
90,Kerry Woollen Mills,http://www.kerrywoollenmills.ie/,+353(0)646644122,-9.686716,52.102086,Kerry,Killarney,Republic of Ireland
91,An Ceardlann - Spiddal Craft and Design Studios,http://www.ceardlann.com,+353(0)91553376,-9.300513,53.245493,Galway,Spiddal,Republic of Ireland
92,Donegal Craft Village,http://www.donegalcraftvillage.com,+353(0)749722225,-8.11518069444275,54.6408953601668,Donegal,Donegal Town,Republic of Ireland
93,Galway Irish Crystal,http://www.galwaycrystal.ie,+353(0)91757311,-8.9967748723526,53.2737496062343,Galway,Galway City,Republic of Ireland
94,Galway Family History Society (West) Ltd.,http://www.rootsireland.ie,+353(0)91860464,-9.07109418650816,53.2759568992711,Galway,Galway City,Republic of Ireland
95,South Mayo Family Research Centre,http://www.mayo.irishroots.net/,+353(0)949541214,-9.222428,53.623485,Mayo,Ballinrobe,Republic of Ireland
96,County Sligo Heritage and Genealogy Society,http://www.sligoroots.com,+353(0)719143728,-8.477043,54.268771,Sligo,Sligo,Republic of Ireland
97,Inishowen Boating,http://www.facebook.com/inishowenboating,+353(0)862522685,-7.262806,55.303162,Donegal,"Culdaff, Inishowen",Republic of Ireland
98,Ashford Equestrian Centre,http://www.ashfordequestrian.com,+353(0)949546507,-9.260245,53.553519,Mayo,Cong,Republic of Ireland
99,Blue Water Fishing,http://www.seafishingireland.net,+353(0)9521073,-10.042122,53.511565,Galway,Clifden,Republic of Ireland
100,Glencoagh Lough,,+353(0)749735032,-8.20210169559716,54.6409769050299,Donegal,Mountcharles,Republic of Ireland
101,The Táin Way,http://carlingfordandcooleypeninsula.ie/,+353(0)429373033,-6.39708,54.004607,Louth,Carlingford,Republic of Ireland
102,"Walking - The Western Way, Galway",http://www.thewesternway.ie,+353(0)9541116,-9.048728,53.276473,Galway,Oughterard,Republic of Ireland
103,The Cavan Way,http://www.irishtrails.ie/Trail/Cavan-Way/8/,+353(0)494378543,-8.01507229944411,54.1899060717684,Cavan,Blacklion,Republic of Ireland
104,The Offaly Way,,+353(0)61317522,-7.67019277587894,53.1384854207371,Offaly,Cadamstown,Republic of Ireland
109,Eagle Rock Equestrian Centre,http://www.eaglerockcentre.com,+353(0)669475145,-10.1022929653181,51.7637398024429,Kerry,Killarney,Republic of Ireland
110,Errislannan Riding Centre & Connemara Pony Stud,http://www.errislannan-manor-riding.com,+353(0)9521134,-10.0695317782331,53.4810454376151,Galway,Clifden,Republic of Ireland
111,Killarney Riding Stables,http://www.kerrytrailride.com,+353(0)646631686,-9.53201153142163,52.0688531929327,Kerry,Killarney,Republic of Ireland
112,Slieve Aughty Riding Centre,http://www.slieveaughtycentre.com/horse-riding-activities-ireland/,+353(0)909745246,-8.47261735189579,53.1340443904518,Galway,Loughrea,Republic of Ireland
113,The Point Pony Trekking and Horse Riding,http://www.thepointponytrekkingcentre.com,+353(0)9523685,-10.0749437362162,53.4342688687443,Galway,Ballyconneely,Republic of Ireland
119,Croagh Patrick Walking Holidays,http://www.walkingguideireland.com,+353(0)9826090,-9.57386084656639,53.7814938725421,Mayo,Westport,Republic of Ireland
120,Hidden Ireland Tours,http://www.hiddenirelandtours.com,+353(0)872214002,-9.63592442858339,52.0241552921849,Kerry,Killarney,Republic of Ireland
121,Moon River Cruise,http://www.moonriver.ie/,+353(0)719621777,-8.09453495894501,53.9430217924179,Leitrim,Carrick-On-Shannon,Republic of Ireland
122,Riversdale Barge Holidays,http://www.riversdaleholidays.com/,+353(0)719644122,-7.7951996924886,54.0297445997448,Leitrim,Ballinamore,Republic of Ireland
125,Kilvahan Horse Drawn Caravans and Adventure Farm,http://www.horsedrawncaravans.com,+353(0)578735178,-7.258105,52.977018,Laois,Coolrain,Republic of Ireland
128,Waveline Cruisers Limited,http://www.cruise-ireland.com,+353(0)12781666,-7.99384484179688,53.1934630436781,Offaly,Bannagher,Republic of Ireland
132,The Laurels,http://www.thelaurelspub.com,+353(0)646631149,-9.50933219510648,52.0592700513833,Kerry,Killarney,Republic of Ireland
133,Donegal Equestrian Centre,http://donegalequestriancentre.com/,+353(0)719841977,-8.25041427941516,54.4897082015903,Donegal,Bundoran,Republic of Ireland
134,The Danny Mann Inn,http://www.evistonhouse.com,+353(0)646631640,-9.510646,52.058814,Kerry,Killarney,Republic of Ireland
135,Baltimore Diving and Watersports Centre,http://www.baltimorediving.com,+353(0)2820300,-9.370642,51.485258,Cork,Baltimore,Republic of Ireland
136,Donegal Bay Waterbus,http://www.donegalbaywaterbus.com,+353(0)749723666,-8.111453,54.652789,Donegal,Donegal Town,Republic of Ireland
137,Ladies View Industries,http://www.ladiesview.com,+353(0)646633430,-9.623804,51.955525,Kerry,Killarney,Republic of Ireland
138,Mayo Horsedrawn Caravan Holidays,http://www.horsedrawncaravan.com,+353(0)949032777,-9.292137164783,53.8439072679371,Mayo,Castlebar,Republic of Ireland
139,Royal Cork Yacht Club,http://www.royalcork.com,+353(0)214831023,-8.30378627116397,51.8044276586363,Cork,Crosshaven,Republic of Ireland
140,The Strand Tavern,http://www.strandtavern.ie,+353(0)51389109,-6.93308660978698,52.2210835726598,Wexford,Duncannon,Republic of Ireland
142,Deane's Equestrian Centre,http://www.facebook.com/DeanesFarmEquestrianCentre/,+353(0)749737160,-8.37359001281072,54.6391767021201,Donegal,Bruckless,Republic of Ireland
143,The Barrow Way,http://www.irishtrails.ie/trail/barrow-way/2/,+353(0)45521240,-6.99618322113859,53.2219355188289,Kildare,Kildare,Republic of Ireland
144,Pirates Cove Adventure Park,http://www.piratescove.ie,+353(0)539425555,-6.232818,52.642981,Wexford,Gorey,Republic of Ireland
145,Mount Juliet Fishing River Nore,http://www.mountjuliet.ie,+353(0)567773000,-7.19112983856378,52.5278670948243,Kilkenny,Thomastown,Republic of Ireland
152,The Ballymaloe Shop and Cafe,http://www.ballymaloeshop.ie/,+353(0)214652032,-8.07493320932008,51.8651493285793,Cork,Shanagarry,Republic of Ireland
153,Dun na Rí Forest Park,http://www.coillte.ie/site/dun-a-ri-forest-park/,+353(0)494331942,-6.79260138244194,53.9192220333036,Cavan,Kingscourt,Republic of Ireland
156,Hanoras Cottage,http://www.hanorascottage.com,+353(0)5236134,-7.633908,52.277388,Waterford,Ballymacarbry,Republic of Ireland
164,Annaharvey Farm Equestrian Centre,http://www.annaharveyfarm.ie,+353(0)579343544,-7.396453,53.251007,Offaly,Tullamore,Republic of Ireland
165,Oliver International Fishing Centre,http://www.brochet-irlande.com/,+353(0)499522616,-7.440472,54.121922,Cavan,Belturbet,Republic of Ireland
166,Kinsale Crystal,http://www.kinsalecrystal.ie,+353(0)214774493,-8.524121,51.705921,Cork,Kinsale,Republic of Ireland
167,Nicholas Mosse Pottery and Mill Cafe,http://www.nicholasmosse.com,+353(0)567727505,-7.18539062698369,52.5895542519491,Kilkenny,Bennettsbridge,Republic of Ireland
168,Quadventure,http://www.quadventure.ie,+353(0)539244660,-6.73488735466974,52.4520212416819,Wexford,Enniscorthy,Republic of Ireland
169,T-Bay Surf & Wildlife Centre,http://www.tramore.ie/surfing-a-water-sports/t-bay-surf-aamp-wildlife-centre.html,+353(0)51391297,-7.139622,52.15971,Waterford,Tramore,Republic of Ireland
170,Kilkenny Design Centre,http://www.kilkennydesign.com,+353(0)567722118,-7.249728,52.649871,Kilkenny,Kilkenny City,Republic of Ireland
172,Market Cross Shopping Centre,http://www.marketcross.ie,+353(0)567752666,-7.254958,52.652688,Kilkenny,Kilkenny City,Republic of Ireland
173,Padmore & Barnes,http://www.padmore-barnes.com,+353(0)567721037,-7.249145,52.656448,Kilkenny,Kilkenny City,Republic of Ireland
175,Ardmore Pottery Gallery Shop,http://www.ardmorepottery.com,+353(0)2494152,-7.718595,51.949438,Waterford,Ardmore,Republic of Ireland
176,City Square Shopping Centre,http://www.city-square.ie,+353(0)51853528,-7.110378,52.259638,Waterford,Waterford City,Republic of Ireland
178,The Sligo Way,http://www.sligococo.ie,,-8.46535,54.2711,Sligo,Co. Sligo,Republic of Ireland
181,West Cork Sailing & Powerboating Centre,http://wildatlanticwildlife.ie/,+353(0)2760132,-9.71615117329406,51.6827079936674,Cork,Beara,Republic of Ireland
183,Countryside Leisure Activity Centre,https://www.facebook.com/CountrysideLeisureActivityCentre/,+353(0)567761791,-7.23737028738366,52.6793730488094,Kilkenny,Kilkenny,Republic of Ireland
185,Cavan Swimming Pool and Leisure Complex,http://cavanleisure.ie/,+353(0)494362888,-7.35213,53.997059,Cavan,Cavan Town,Republic of Ireland
186,Perks Entertainment Centre,http://www.perksfunfair.com,+353(0)2492438,-7.858829,51.941013,Cork,Youghal,Republic of Ireland
188,Hilltop Shooting Sports,http://hilltopshootingsports.com,+353(0)12818025,-6.165609,53.092733,Wicklow,Newtownmountkennedy,Republic of Ireland
189,Longs Horse Riding and Trekking Centre,http://www.longsriding.com,+353(0)872250286,-10.3624142813782,52.1394748799367,Kerry,Dingle,Republic of Ireland
191,Craft Granary,http://craftgranary.ie/,+353(0)527441473,-7.924652,52.376298,Tipperary,Cahir,Republic of Ireland
192,Connemara Marble Visitor Centre,,+353(0)91555746/555102,-9.184603,53.340378,Galway,Moycullen,Republic of Ireland
193,Delphi Fishery,http://www.fishinginireland.info/salmon/west/delphi.htm,+353(0)9542222,-9.75169337406851,53.6212129831694,Galway,Leenane,Republic of Ireland
194,Ireland's School of Falconry,http://www.falconry.ie,+353(0)949546820,-9.28504412020299,53.5344475889373,Mayo,Cong,Republic of Ireland
195,The Spinning Wheel,http://www.thespinningwheel.ie,+353(0)2763347,-9.5485,51.750367,Cork,Glengarriff,Republic of Ireland
196,Dive Tory,http://www.hoteltory.com/Diving.htm,+353(0)749135920,-8.22669290871954,55.2652063651715,Donegal,Tory Island,Republic of Ireland
197,Kiltrea Bridge Pottery,http://www.kiltreapottery.com,+353(0)539235107,-6.64402,52.51035,Wexford,Enniscorthy,Republic of Ireland
199,Bansha Wood,http://www.coillte.ie,+353(0)527441453,-8.06434793204121,52.4482985172907,Tipperary,Bansha,Republic of Ireland
200,Waterford City Slí na Sláinte Walk,http://www.irishtrails.ie/Trail/Waterford-City-Sli/1053/,,-7.1054245019086,52.2605344006357,Waterford,Waterford,Republic of Ireland
201,Glenshelane Forest Trails,http://www.coillte.ie,,-7.82643444323215,52.1488101303743,Waterford,Cappoquin,Republic of Ireland
202,Kilclooney Wood,http://www.coillte.ie,,-7.42648426141386,52.2034472156374,Waterford,Kilmacthomas,Republic of Ireland
203,Paul Maloney Pottery,http://www.paulmaloneypottery.com,+353(0)539120188,-6.538008,52.330326,Wexford,Barnstown,Republic of Ireland
204,Kiltorcan Raceway Karting Circuit,http://www.kiltorcan.com,+353(0)872464872,-7.182288,52.462079,Kilkenny,Ballyhale,Republic of Ireland
205,Bird Watching In Ardmore,,,-7.72400378998085,51.9507759255638,Waterford,Ardmore,Republic of Ireland
206,Bird Watching In Clonea,,,-7.53312207156846,52.1072771678837,Waterford,Dungarvan,Republic of Ireland
207,Bird Watching In Nire Valley Area,,,-7.73870158098676,52.2835391157577,Waterford,Ballymacarby,Republic of Ireland
208,Kilmore Quay Boat Charters - Dick Hayes,,+353(0)872549111,-6.58928,52.17182,Wexford,Kilmore Quay,Republic of Ireland
209,Kytelers Inn,http://www.kytelersinn.com,+353(0)567721064,-7.253298,52.65318,Kilkenny,Kilkenny City,Republic of Ireland
210,Coleman Irish Music Centre - Ceoláras Coleman,http://www.colemanirishmusic.com,+353(0)719182599,-8.52295037425954,53.9962126557894,Sligo,Gurteen,Republic of Ireland
213,Drummindoo Stud & Equitation Centre,http://www.drummindoo.com,+353(0)9825616,-9.50880177201077,53.7989998064847,Mayo,Westport,Republic of Ireland
214,Fallers Jewellers,http://www.fallers.com,+353(0)91561226,-9.05112054786775,53.2742156825606,Galway,Galway City,Republic of Ireland
215,Westport Wargames,http://westportadventurepark.ie/,+353(0)9821886,-9.5553381031799,53.767943311974,Mayo,Westport,Republic of Ireland
217,Moran's Oyster Cottage,http://www.moranstheweir.com,+353(0)91796113,-8.895217,53.21104,Galway,Kilcolgan,Republic of Ireland
219,The Huntsman Inn,http://www.huntsmaninn.com,+353(0)91562849,-9.033889,53.281333,Galway,Galway City,Republic of Ireland
221,Connemara Championship Links,http://www.connemaragolflinks.com,+353(0)9523502,-10.139698,53.418931,Galway,Ballyconneely,Republic of Ireland
222,Roundstone Music and Crafts,http://www.bodhran.com,+353(0)9535808,-9.916871,53.391996,Galway,Roundstone,Republic of Ireland
223,Inis Meáin Knitting Company,http://www.inismeain.ie,+353(0)9973009,-9.583115,53.087649,Galway,Aran Islands,Republic of Ireland
226,Cycle Holidays Ireland,http://www.cycleholidaysireland.com,+353(0)878321200,-8.296194,53.115448,Galway,Ballinasloe,Republic of Ireland
227,"Ravensdale Lodge, Equestrian & Trekking Centre",http://www.ravensdalelodge.com,+353(0)429371034,-6.3408,54.057899,Louth,Dundalk,Republic of Ireland
228,Carlingford Adventure Centre,http://www.carlingfordadventure.com,+353(0)429373100,-6.186241,54.040061,Louth,Carlingford,Republic of Ireland
229,Sonairte The National Ecology Centre,http://www.sonairte.ie,+353(0)419827572,-6.25604567591858,53.6782761795197,Meath,Laytown,Republic of Ireland
232,Cork Harbour Boats,http://www.corkharbourboats.com,+353(0)214841348,-8.3190782018601,51.846891186652,Cork,Passage West,Republic of Ireland
233,Courtmacsherry Angling Ltd.,http://www.courtmacsherryangling.ie,+353(0)876381003,-8.71076,51.635549,Cork,Courtmacsherry,Republic of Ireland
236,The Coffee Shop,,+353(0)40468194,-6.04360337301636,52.98083331054,Wicklow,Wicklow Town,Republic of Ireland
237,Jack Burtchaell Waterford City Walking Tours,http://www.jackswalkingtours.com,+353(0)51873711,-7.10684106369694,52.2609302975725,Waterford,Waterford City,Republic of Ireland
238,Bellefield Design,http://www.cwcwe.ie,+353(0)539236294,-6.579892,52.506111,Wexford,Enniscorthy,Republic of Ireland
239,Wineport Lodge,http://www.wineport.ie,+353(0)906439010,-7.88577369940572,53.4644464112821,Westmeath,Athlone,Republic of Ireland
240,Rathwood Home and Garden World,http://www.rathwood.com,+353(0)599156285,-6.659993,52.796104,Carlow,Tullow,Republic of Ireland
241,Paddy's Rent-A-Bike,http://www.paddysbikeshop.com/,+353(0)669152311,-10.2680244113335,52.1408984036407,Kerry,Dingle,Republic of Ireland
243,Glengarra Wood,http://www.coillte.ie,,-8.0935698172442,52.3248530745509,Tipperary,Cahir,Republic of Ireland
245,Barr na Sráide Inn,http://www.barrnasraide.ie,+353(0)669151331,-10.270631,52.14288,Kerry,Dingle,Republic of Ireland
246,Ned Natterjacks,,+353(0)667139491,-10.025636,52.255742,Kerry,Castlegregory,Republic of Ireland
250,Altitude Cycle & Outdoor Store,http://www.altitude.ie,+353(0)51870356,-7.118785,52.26013,Waterford,Waterford City,Republic of Ireland
251,The Lord Kingsale,,+353(0)214772371,-8.523564,51.705564,Cork,Kinsale,Republic of Ireland
252,The Ring Lyne,,+353(0)669476103,-10.336494,51.906734,Kerry,Valentia Island,Republic of Ireland
253,The East Munster Way,http://www.irishtrails.ie/Trail/East-Munster-Way/17/,,-7.40470492454733,52.3471054682275,Tipperary,Carrick on Suir,Republic of Ireland
254,Tipperary Heritage Way,http://www.irishtrails.ie/trail/tipperary-heritage-way/36/,+353(0)6255467,-7.88582982915318,52.516411290825,Tipperary,Tipperary Town,Republic of Ireland
255,Toddies,http://www.thebulman.ie/,+353(0)214777769,-8.499492,51.699761,Cork,Kinsale,Republic of Ireland
256,No. 35,http://no35kenmare.com/,+353(0)646641559,-9.58212695833594,51.8795677842995,Kerry,Kenmare,Republic of Ireland
261,The Heron's Cove,http://www.heronscove.com,+353(0)2835225,-9.708978,51.495923,Cork,Goleen,Republic of Ireland
262,Glendalough & Powerscourt Gardens Tour – DoDublin Tours,http://dodublin.ie/day-tours/south-dublin-glendalough-powerscourt,+353(0)17033028,-6.260892,53.350453,Dublin,59 Upper O'Connell Street,Republic of Ireland
263,Hop On Hop Off  Tour - DoDublin,http://dodublin.ie,+353(0)17033028,-6.260892,53.350453,Dublin,59 Upper O'Connell Street,Republic of Ireland
264,Ghostbus Tour – DoDublin Tours,http://ghostbus.ie,+353(0)17033190,-6.261029,53.350462,Dublin,Dublin,Republic of Ireland
282,Stephen Pearce Pottery,http://www.stephenpearce.com,+353(0)214646807,-8.026556,51.851961,Cork,Shanagarry,Republic of Ireland
283,Louis Mulcahy Pottery,http://www.louismulcahy.com,+353(0)669156229,-10.4537755095506,52.1538594274409,Kerry,Ballyferriter,Republic of Ireland
284,The Erin Giftstore,http://www.eringiftstore.com,+353(0)214381357,-8.5680949622598,51.931815817315,Cork,Blarney,Republic of Ireland
285,Lisbeth Mulcahy Fíodóir - The Weaver's Shop,http://www.lisbethmulcahy.com,+353(0)669151688,-10.271045,52.140887,Kerry,Dingle,Republic of Ireland
286,Boland Craft Gift Shop,http://www.facebook.com/Boland-Craft-Gift-Shop-143758849124010/?fref=ts,+353(0)214772161,-8.51985212094548,51.7025565558758,Cork,Kinsale,Republic of Ireland
287,Brennanstown Riding School,http://www.brennanstownrs.ie,+353(0)12863778,-6.134271,53.180662,Wicklow,Bray,Republic of Ireland
288,Killarney School of English,http://www.ksoe.com,+353(0)646636630,-9.494563,52.038921,Kerry,Killarney,Republic of Ireland
289,Joe Roddy & Sons Skellig Trips & Angling,,+353(0)871209924,-10.366425,51.885943,Kerry,Portmagee,Republic of Ireland
292,Bridgefield Buggies Ltd.,http://www.quadbikesafari.ie,+353(0)214667533,-8.019922,51.904771,Cork,Castlemartyr,Republic of Ireland
293,Tailor-Made Tours,http://www.tailor-madetours.com,+353(0)873344031,-9.77942135978585,52.1667837547661,Cork,Aghada,Republic of Ireland
295,Wild Kerry Day Tours with O’Connor Autotours,http://www.wildkerry-Daytours.ie,+353(0)646631052,-9.508651,52.055306,Kerry,Killarney,Republic of Ireland
298,Keane's Jewellers,http://www.keanes.ie,+353(0)214271256,-8.472195,51.89772,Cork,Cork City,Republic of Ireland
299,Carrickcraft,http://www.cruise-ireland.com,+353(0)12781666,-8.09881887483402,53.9439213249372,Leitrim,Carrick On Shannon,Republic of Ireland
300,Locaboat Ireland,http://www.locaboat.com/en/boating-holidays/ireland/shannon/,+353(0)719645300,-8.09978837255857,53.9442381621975,Leitrim,Carrick-On-Shannon,Republic of Ireland
301,Kingfisher Cycle Trail,http://www.kingfishercycletrail.com,+44(0)2866323110,-8.178592,54.306503,Fermanagh,Enniskillen,Republic of Ireland
303,Barrowline Cruisers,http://www.barrowline.ie,+353(0)578626060,-7.099672,53.076479,Laois,Portaloise,Republic of Ireland
304,Murphy Jewellers and Watchmakers,http://www.murphyjewellers.com,+353(0)567721127,-7.252816,52.651587,Kilkenny,Kilkenny City,Republic of Ireland
305,Shaws & Sons Limited,http://www.shaws.ie,+353(0)51872977,-7.11285232696627,52.2623239398767,Waterford,Waterford City,Republic of Ireland
306,Clissmann Horse Drawn Caravans,http://www.clissmannhorsecaravans.com,+353(0)40446920,-6.21793,52.974243,Wicklow,Rathdrum,Republic of Ireland
307,Letterkenny Karting Centre,http://www.letterkennykarting.com/,+353(0)749129077,-7.674309,54.984026,Donegal,Letterkenny,Republic of Ireland
308,Studio Donegal,http://www.studiodonegal.ie,+353(0)749738194,-8.594719,54.632029,Donegal,Kilcar,Republic of Ireland
310,Bel Air Equestrian Centre,http://www.belairhotelequestrian.com/,+353(0)40440109,-6.12241043476433,53.0018053778383,Wicklow,Ashford,Republic of Ireland
313,The Beara Way,http://www.bearatourism.com,+353(0)2770054,-9.94549254000484,51.7017251046066,Cork,Beara Peninsula,Republic of Ireland
314,The Blackwater Way,,+353(0)214255100,-8.474305,51.896447,Cork,Grand Parade,Republic of Ireland
315,The Dingle Way,http://www.irishtrails.ie/Trail/Dingle-Way/11/,+353(0)669151188,-10.274592,52.139153,Kerry,Tralee,Republic of Ireland
316,Sheep's Head Way,http://www.irishtrails.ie/trail/Sheeps-Head-Way/29/,+353(0)2767136,-9.60033614586791,51.626010736538,Cork,Bantry,Republic of Ireland
317,Beara Way Cycling Route,,+353(0)2821489,-9.94999204762586,51.6956643207193,Cork,Beara Peninsula,Republic of Ireland
318,The Ring of Kerry Cycle Route,,+353(0)646631633,-9.75043931715399,52.1670833699325,Kerry,Ring of Kerry,Republic of Ireland
319,Sheep’s Head Cycle Route,http://www.thesheepsheadway.ie/index.cfm/page/cyclingroute,+353(0)2767136,-9.70330154820503,51.5814110375101,Cork,Bantry,Republic of Ireland
321,Teach Dolmain,https://www.facebook.com/#!/TeachDolmain?fref=ts,+353(0)599130911,-6.92544,52.836192,Carlow,Carlow Town,Republic of Ireland
322,Horse & Hound Hotel,http://www.horseandhoundhotel.ie,+353(0)51428323,-6.837091,52.369398,Wexford,Foulksmills,Republic of Ireland
323,Voya Seaweed Baths,http://www.voyaseaweedbaths.com,+353(0)719168686,-8.609456,54.269896,Sligo,Strandhill,Republic of Ireland
324,Carrickmacross Lace Gallery,http://www.carrickmacrosslace.ie,+353(0)429664176,-6.719094,53.97768,Monaghan,Carrickmacross,Republic of Ireland
325,The River Shannon – Lanesborough to Rooskey,http://www.fishinginireland.info/coarse/shannon/lanesboro.htm,+353(0)12787022,-7.99115129907227,53.6735420775777,Dublin,Lanesborough,Republic of Ireland
326,River Inny,http://www.fishinginireland.info/,+353(0)18842600,-7.32313105065918,53.6684318616526,Dublin,Swords,Republic of Ireland
327,Lough Gowna,http://www.fishinginireland.info/pike/north/loughgowna.htm,+353(0)18842600,-7.56774851281739,53.8805545401378,Dublin,Swords,Republic of Ireland
328,Mullaghmore Sailing Club and Centre Ltd,http://www.mullaghmoresailingclub.org,+353(0)7144392,-8.450497,54.463935,Sligo,Cliffoney,Republic of Ireland
329,Edel MacBride Knitwear Designer,http://www.edelmacbride.com,+353(0)749147508,-7.658943,54.857946,Donegal,Stranorlar,Republic of Ireland
333,Irish Country Quads,http://www.irishcountryquads.com,+353(0)429378997,-6.58151868307447,54.0302275222818,Monaghan,Inniskeen,Republic of Ireland
334,Rally School Ireland,http://www.rallyschoolireland.ie,+353(0)4789098,-7.097166,54.268386,Monaghan,Scotstown,Republic of Ireland
335,Jerpoint Glass Studio,http://www.jerpointglass.com,+353(0)567724350,-7.196754,52.518515,Kilkenny,Thomastown,Republic of Ireland
