X,Y,OBJECTID,PLAYGROUND,Location,SURFACE,PARKING,OPENHRS,TOILETFACI,SPECIANNEE,EQUIPMENT,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.058877416761536,53.275516779080782,17,Millennium Children's Park,"University Road, Galway",Rubber Wet-pour surface,Adjacent public car,No restricted opening hours,Yes,Yes, ,53.276,-9.059,529337.338,725570.927,129371.318,225541.82
-9.110492132386987,53.262385227756589,18,McGrath's Field Playground,"Shangort Road, Knocknacarra",Rubber Wet-pour surface,Parking along public,No restricted opening hours,No,Yes, ,53.263,-9.111,525872.722,724162.275,125905.959,224132.845
-9.130139637264891,53.262886315965609,19,Cappagh Park Playground,"Cappagh Road, Knockanacarra",Wood Bark Surface,Car park in Cappagh,No restricted opening hours,Yes- At adjacent Kno, , ,53.263,-9.131,524563.017,724238.569,124595.972,224209.147
-9.118502103577136,53.268095944137549,20,Slí Burca Playground,"Ballymoneen Road, Galway",Rubber Wet-pour surface,Within estate,No restricted opening hours,No,No, ,53.268,-9.119,525348.36,724805.934,125381.482,224776.638
-9.040686935593206,53.29275088208815,21,Ballinfoyle Park Multi Use Games,"Headford Road, Galway",Tarmac,Parking along the pu,No restricted opening hours,No,No,Basketball Hoops,53.293,-9.041,530578.295,727470.443,130612.537,227441.75
-9.066880458306748,53.273584551631878,22,Sliding Rock Park Multi Use Games,"McDara Road, Shantalla",Tarmac,Parking along public,No restricted opening hours,No,No,Basketball Hoops,53.274,-9.067,528800.447,725363.902,128834.312,225334.747
-9.07910399348593,53.276568937802615,23,Westside Park Skate Park,"Seamus Quirke Road, Newcastle",Concrete,Parking along public,No restricted opening hours,No,No, ,53.277,-9.08,527990.299,725708.163,128023.988,225679.077
-9.059683524336663,53.27510872992957,24,Millennium Children's Park Skate Park,"University Road, Galway",Concrete,Adjacent public car,No restricted opening hours,Yes,No, ,53.275,-9.06,529282.91,725526.328,129316.878,225497.21
-9.1089398239322,53.27458673372346,25,Na Blatha Creige,"Clybaun Road, Galway",Rubber Wet-pour surface,Within estate,No restricted opening hours,No,No, ,53.275,-9.11,525997.332,725518.105,126030.592,225488.965
-8.967954778167265,53.275213599884601,26,Roscam Park Playground 1,Roscam Park,Wood Bark Surface,Within estate,No restricted opening hours,No,No, ,53.275,-8.969,535400.074,725451.195,135435.363,225422.098
-8.965204414767223,53.276470749984526,27,Roscam Park Playground 2,Roscam Park,Wood Bark Surface,Within estate,No restricted opening hours,No,No, ,53.277,-8.966,535585.373,725588.576,135620.703,225559.51
-8.987595230886429,53.282318509679968,28,Merlin Park Adventure Playground,"Doughiska, Galway",Wood Bark and Grass turf surface,Within estate,No restricted opening hours,No,No, ,53.283,-8.988,534101.258,726259.563,134136.264,226230.631
-8.988103297020848,53.282279505951877,29,Merlin Park Toddler Area,"Doughiska, Galway",Wood Bark Surface,Within estate,No restricted opening hours,No,No, ,53.283,-8.989,534067.323,726255.692,134102.322,226226.759
-8.998348627038325,53.280376287317495,30,Merlin Woods Park Playground,"Merlin Woods, adjacent to Merlin Castle",Rubber Wet-pour surface,Within estate,No restricted opening hours,No,No, ,53.281,-8.999,533381.259,726053.45,133416.111,226024.47
